id_Venda,fk_Cliente,fk_Produto,fk_Loja,Quantidade,dt_Venda
766979-7865826879-vd362,25,124,3,5,2023-01-04
766979-7865826879-vd363,1429,31,1,12,2023-01-04
766979-7865826879-vd364,1525,119,3,5,2023-01-04
766979-7865826879-vd365,278,27,1,17,2023-01-04
766979-7865826879-vd366,3018,45,2,25,2023-01-04
766979-7865826879-vd367,973,37,2,29,2023-01-04
766979-7865826879-vd368,2482,63,3,1,2023-01-04
766979-7865826879-vd369,1054,107,3,20,2023-01-04
766979-7865826879-vd370,2178,6,3,11,2023-01-04
766979-7865826879-vd371,2495,49,3,11,2023-01-04
766979-7865826879-vd372,887,98,2,5,2023-01-04
766979-7865826879-vd373,2742,9,5,5,2023-01-04
766979-7865826879-vd374,3922,44,2,26,2023-01-04
766979-7865826879-vd375,2112,6,4,4,2023-01-04
766979-7865826879-vd376,112,46,5,12,2023-01-04
766979-7865826879-vd377,521,90,4,6,2023-01-04
766979-7865826879-vd378,3641,80,2,9,2023-01-04
766979-7865826879-vd379,2085,113,5,11,2023-01-04
766979-7865826879-vd380,936,34,1,6,2023-01-04
766979-7865826879-vd381,113,26,5,19,2023-01-04
766979-7865826879-vd382,2147,49,1,23,2023-01-04
766979-7865826879-vd383,1393,44,4,5,2023-01-04
766979-7865826879-vd384,405,3,2,23,2023-01-04
766979-7865826879-vd385,654,73,2,11,2023-01-04
766979-7865826879-vd386,3912,133,3,23,2023-01-04
766979-7865826879-vd387,2453,46,1,27,2023-01-04
766979-7865826879-vd388,231,95,1,9,2023-01-04
766979-7865826879-vd389,712,39,4,28,2023-01-04
766979-7865826879-vd390,2327,107,2,31,2023-01-04
766979-7865826879-vd391,1483,54,5,30,2023-01-04
766979-7865826879-vd392,298,20,2,9,2023-01-04
766979-7865826879-vd393,1299,110,5,16,2023-01-04
766979-7865826879-vd394,3302,36,1,18,2023-01-04
766979-7865826879-vd395,1193,133,1,25,2023-01-04
766979-7865826879-vd396,681,67,2,11,2023-01-04
766979-7865826879-vd397,259,130,1,10,2023-01-04
766979-7865826879-vd398,321,104,2,27,2023-01-04
766979-7865826879-vd399,1929,110,4,30,2023-01-04
766979-7865826879-vd400,2090,39,2,24,2023-01-04
766979-7865826879-vd401,3908,121,5,34,2023-01-04
766979-7865826879-vd402,956,105,3,6,2023-01-04
766979-7865826879-vd403,2021,24,3,6,2023-01-04
766979-7865826879-vd404,3343,104,5,6,2023-01-04
766979-7865826879-vd405,2300,97,3,11,2023-01-04
766979-7865826879-vd406,2141,104,5,25,2023-01-04
766979-7865826879-vd407,1416,78,1,23,2023-01-04
766979-7865826879-vd408,1748,21,5,34,2023-01-04
766979-7865826879-vd409,1238,46,3,15,2023-01-04
766979-7865826879-vd430,1988,135,4,16,2023-01-05
766979-7865826879-vd431,2690,63,5,1,2023-01-05
766979-7865826879-vd432,2213,115,1,24,2023-01-05
766979-7865826879-vd433,1461,9,4,27,2023-01-05
766979-7865826879-vd434,3421,41,1,34,2023-01-05
766979-7865826879-vd435,2603,78,1,14,2023-01-05
766979-7865826879-vd436,1187,16,2,27,2023-01-05
766979-7865826879-vd437,2787,28,3,5,2023-01-05
766979-7865826879-vd438,2699,78,1,35,2023-01-05
766979-7865826879-vd439,51,49,2,10,2023-01-05
766979-7865826879-vd440,3027,123,4,15,2023-01-05
766979-7865826879-vd441,3329,58,1,20,2023-01-05
766979-7865826879-vd442,997,60,3,18,2023-01-05
766979-7865826879-vd443,2516,41,3,20,2023-01-05
766979-7865826879-vd444,3128,44,4,23,2023-01-05
766979-7865826879-vd445,1844,17,5,14,2023-01-05
766979-7865826879-vd446,1057,77,3,27,2023-01-05
766979-7865826879-vd447,2847,49,5,17,2023-01-05
766979-7865826879-vd448,1569,129,1,20,2023-01-05
766979-7865826879-vd449,1905,6,5,13,2023-01-05
766979-7865826879-vd450,3207,77,1,6,2023-01-05
766979-7865826879-vd451,3062,49,5,23,2023-01-05
766979-7865826879-vd452,286,46,3,21,2023-01-05
766979-7865826879-vd453,3895,53,5,31,2023-01-05
766979-7865826879-vd454,3896,132,1,5,2023-01-05
766979-7865826879-vd455,3919,104,2,10,2023-01-05
766979-7865826879-vd456,2059,14,4,7,2023-01-05
766979-7865826879-vd457,179,44,3,15,2023-01-05
766979-7865826879-vd458,3900,48,4,7,2023-01-05
766979-7865826879-vd459,1252,78,1,19,2023-01-05
766979-7865826879-vd460,1177,49,3,35,2023-01-05
766979-7865826879-vd461,95,98,2,34,2023-01-05
766979-7865826879-vd462,3966,124,1,22,2023-01-05
766979-7865826879-vd463,1390,31,2,13,2023-01-05
766979-7865826879-vd464,1968,77,5,19,2023-01-05
766979-7865826879-vd465,1618,47,1,24,2023-01-05
766979-7865826879-vd466,51,58,1,35,2023-01-05
766979-7865826879-vd467,171,73,4,18,2023-01-05
766979-7865826879-vd468,794,130,2,19,2023-01-05
766979-7865826879-vd469,2981,90,5,1,2023-01-05
766979-7865826879-vd470,3640,98,5,28,2023-01-05
766979-7865826879-vd471,3494,34,1,21,2023-01-05
766979-7865826879-vd472,444,78,2,19,2023-01-05
766979-7865826879-vd473,372,27,4,29,2023-01-05
766979-7865826879-vd474,2011,107,1,6,2023-01-05
766979-7865826879-vd475,2764,119,1,19,2023-01-05
766979-7865826879-vd476,1971,78,5,1,2023-01-05
766979-7865826879-vd477,857,104,3,7,2023-01-05
766979-7865826879-vd478,3327,39,3,18,2023-01-05
766979-7865826879-vd479,3295,87,1,16,2023-01-05
766979-7865826879-vd480,1228,76,1,30,2023-01-05
766979-7865826879-vd481,883,107,4,4,2023-01-05
766979-7865826879-vd482,1863,112,1,5,2023-01-05
766979-7865826879-vd483,3041,21,1,12,2023-01-05
766979-7865826879-vd484,180,23,3,7,2023-01-05
766979-7865826879-vd485,3529,82,3,11,2023-01-05
766979-7865826879-vd486,2122,87,4,21,2023-01-05
766979-7865826879-vd487,1305,46,2,5,2023-01-05
766979-7865826879-vd488,3407,25,4,29,2023-01-05
766979-7865826879-vd489,2747,8,4,16,2023-01-05
766979-7865826879-vd490,2292,93,3,20,2023-01-05
766979-7865826879-vd491,2822,123,1,20,2023-01-05
766979-7865826879-vd492,3628,49,5,23,2023-01-05
766979-7865826879-vd493,1469,87,2,26,2023-01-05
766979-7865826879-vd494,629,107,5,27,2023-01-05
766979-7865826879-vd495,1740,91,2,34,2023-01-05
766979-7865826879-vd496,1996,38,5,23,2023-01-05
766979-7865826879-vd497,1051,135,5,19,2023-01-05
766979-7865826879-vd498,3711,83,5,8,2023-01-05
766979-7865826879-vd499,3443,88,1,9,2023-01-05
766979-7865826879-vd500,3086,65,4,34,2023-01-05
766979-7865826879-vd501,1517,25,1,35,2023-01-05
766979-7865826879-vd502,3596,112,5,11,2023-01-05
766979-7865826879-vd503,3755,63,4,16,2023-01-05
766979-7865826879-vd504,790,39,4,19,2023-01-05
766979-7865826879-vd505,147,83,2,6,2023-01-05
766979-7865826879-vd506,1802,68,4,11,2023-01-05
766979-7865826879-vd507,1635,47,1,24,2023-01-05
766979-7865826879-vd508,1058,16,2,32,2023-01-05
766979-7865826879-vd509,2048,26,5,5,2023-01-05
766979-7865826879-vd510,825,65,5,2,2023-01-05
766979-7865826879-vd511,355,4,1,23,2023-01-05
766979-7865826879-vd512,2591,26,5,5,2023-01-05
766979-7865826879-vd513,256,115,2,31,2023-01-05
766979-7865826879-vd514,1282,36,5,5,2023-01-05
766979-7865826879-vd515,3254,34,1,26,2023-01-05
766979-7865826879-vd516,2009,117,1,11,2023-01-05
766979-7865826879-vd517,3756,51,1,24,2023-01-05
766979-7865826879-vd518,1142,67,4,16,2023-01-05
766979-7865826879-vd519,2744,31,2,15,2023-01-05
766979-7865826879-vd520,876,78,3,9,2023-01-05
766979-7865826879-vd521,2972,39,3,1,2023-01-05
766979-7865826879-vd522,3463,98,3,33,2023-01-05
766979-7865826879-vd523,565,6,4,3,2023-01-05
766979-7865826879-vd524,465,26,5,26,2023-01-05
766979-7865826879-vd525,2813,39,3,2,2023-01-05
766979-7865826879-vd526,2339,137,2,24,2023-01-05
766979-7865826879-vd527,2205,124,5,28,2023-01-05
766979-7865826879-vd528,2777,39,3,13,2023-01-05
766979-7865826879-vd529,1360,49,2,2,2023-01-05
766979-7865826879-vd530,802,25,5,1,2023-01-05
766979-7865826879-vd531,930,70,3,35,2023-01-05
766979-7865826879-vd532,863,4,1,6,2023-01-05
766979-7865826879-vd533,727,77,5,14,2023-01-05
766979-7865826879-vd534,2578,51,4,26,2023-01-05
766979-7865826879-vd535,68,108,2,2,2023-01-05
766979-7865826879-vd536,3939,78,2,22,2023-01-05
766979-7865826879-vd537,3760,44,3,5,2023-01-05
766979-7865826879-vd538,3550,14,2,23,2023-01-05
766979-7865826879-vd539,698,78,2,22,2023-01-05
766979-7865826879-vd540,3498,124,2,21,2023-01-05
766979-7865826879-vd541,816,39,5,10,2023-01-05
766979-7865826879-vd542,1903,25,2,4,2023-01-05
766979-7865826879-vd543,2621,98,2,18,2023-01-05
766979-7865826879-vd544,1866,67,3,35,2023-01-05
766979-7865826879-vd545,1045,124,4,23,2023-01-05
766979-7865826879-vd546,3349,78,2,25,2023-01-05
766979-7865826879-vd547,2178,83,4,6,2023-01-06
766979-7865826879-vd548,1920,49,4,24,2023-01-06
766979-7865826879-vd549,152,65,1,22,2023-01-06
766979-7865826879-vd550,3956,44,2,26,2023-01-06
766979-7865826879-vd551,414,63,1,17,2023-01-06
766979-7865826879-vd552,2926,115,5,26,2023-01-06
766979-7865826879-vd553,3611,23,4,15,2023-01-06
766979-7865826879-vd554,2586,124,2,11,2023-01-06
766979-7865826879-vd555,284,87,1,23,2023-01-06
766979-7865826879-vd556,2135,1,5,16,2023-01-06
766979-7865826879-vd557,626,63,4,11,2023-01-06
766979-7865826879-vd558,842,31,2,18,2023-01-06
766979-7865826879-vd559,1453,53,4,23,2023-01-06
766979-7865826879-vd560,894,77,4,35,2023-01-06
766979-7865826879-vd561,3472,78,2,15,2023-01-06
766979-7865826879-vd562,3853,46,3,7,2023-01-06
766979-7865826879-vd563,3158,52,5,25,2023-01-06
766979-7865826879-vd564,1074,56,4,5,2023-01-06
766979-7865826879-vd565,2669,58,4,16,2023-01-06
766979-7865826879-vd566,530,49,3,14,2023-01-06
766979-7865826879-vd567,1268,129,2,25,2023-01-06
766979-7865826879-vd568,3162,25,2,22,2023-01-06
766979-7865826879-vd569,1584,78,3,33,2023-01-06
766979-7865826879-vd570,928,34,2,1,2023-01-06
766979-7865826879-vd571,2856,134,1,7,2023-01-06
766979-7865826879-vd572,2300,107,4,3,2023-01-06
766979-7865826879-vd573,176,99,3,26,2023-01-06
766979-7865826879-vd574,314,74,1,22,2023-01-06
766979-7865826879-vd575,2213,130,2,22,2023-01-06
766979-7865826879-vd576,3071,107,1,23,2023-01-06
766979-7865826879-vd577,668,2,3,18,2023-01-06
766979-7865826879-vd578,2162,34,1,31,2023-01-06
766979-7865826879-vd579,1343,54,5,25,2023-01-06
766979-7865826879-vd580,3094,2,5,29,2023-01-06
766979-7865826879-vd581,2560,24,3,25,2023-01-06
766979-7865826879-vd582,3079,31,4,31,2023-01-06
766979-7865826879-vd583,1937,78,1,26,2023-01-06
766979-7865826879-vd584,2585,95,1,11,2023-01-06
766979-7865826879-vd585,3047,129,4,23,2023-01-06
766979-7865826879-vd586,29,34,5,6,2023-01-06
766979-7865826879-vd587,2486,108,5,30,2023-01-06
766979-7865826879-vd588,2909,67,2,32,2023-01-06
766979-7865826879-vd589,2502,80,1,10,2023-01-06
766979-7865826879-vd590,2443,82,3,26,2023-01-06
766979-7865826879-vd591,3151,104,2,34,2023-01-06
766979-7865826879-vd592,3707,101,2,3,2023-01-06
766979-7865826879-vd593,1769,36,5,33,2023-01-06
766979-7865826879-vd594,1819,49,3,8,2023-01-06
766979-7865826879-vd595,2422,133,1,35,2023-01-06
766979-7865826879-vd596,2002,41,5,8,2023-01-06
766979-7865826879-vd597,509,47,4,27,2023-01-06
766979-7865826879-vd598,1714,136,5,15,2023-01-06
766979-7865826879-vd599,3404,22,2,21,2023-01-06
766979-7865826879-vd600,2862,3,1,12,2023-01-06
766979-7865826879-vd601,1900,77,3,25,2023-01-06
766979-7865826879-vd602,3137,46,1,16,2023-01-06
766979-7865826879-vd603,213,25,4,33,2023-01-06
766979-7865826879-vd604,1448,98,5,8,2023-01-06
766979-7865826879-vd605,2958,80,3,30,2023-01-06
766979-7865826879-vd606,889,124,1,2,2023-01-06
766979-7865826879-vd607,1810,78,5,12,2023-01-06
766979-7865826879-vd608,2430,129,4,6,2023-01-06
766979-7865826879-vd609,1891,83,5,31,2023-01-06
766979-7865826879-vd610,291,36,5,32,2023-01-06
766979-7865826879-vd611,3489,115,3,8,2023-01-06
766979-7865826879-vd612,34,104,3,32,2023-01-06
766979-7865826879-vd613,1965,39,4,25,2023-01-06
766979-7865826879-vd614,807,46,3,18,2023-01-06
766979-7865826879-vd615,1375,102,2,35,2023-01-06
766979-7865826879-vd616,2817,39,2,7,2023-01-06
766979-7865826879-vd617,745,25,1,9,2023-01-06
766979-7865826879-vd618,2712,44,5,14,2023-01-06
766979-7865826879-vd619,1804,78,3,28,2023-01-06
766979-7865826879-vd620,1965,119,5,1,2023-01-06
766979-7865826879-vd621,3792,90,5,12,2023-01-06
766979-7865826879-vd622,2144,113,4,5,2023-01-06
766979-7865826879-vd623,2141,37,4,4,2023-01-06
766979-7865826879-vd624,605,125,5,3,2023-01-06
766979-7865826879-vd625,3387,37,3,2,2023-01-06
766979-7865826879-vd626,312,61,1,10,2023-01-06
766979-7865826879-vd627,2730,129,3,7,2023-01-06
766979-7865826879-vd628,1815,104,1,8,2023-01-06
766979-7865826879-vd629,3564,31,2,17,2023-01-06
766979-7865826879-vd630,895,69,4,4,2023-01-06
766979-7865826879-vd631,1364,45,1,30,2023-01-06
766979-7865826879-vd632,515,83,3,32,2023-01-06
766979-7865826879-vd633,531,60,5,2,2023-01-06
766979-7865826879-vd634,696,90,3,16,2023-01-06
766979-7865826879-vd635,2310,41,1,7,2023-01-06
766979-7865826879-vd636,95,25,4,8,2023-01-06
766979-7865826879-vd637,2183,42,4,35,2023-01-06
766979-7865826879-vd638,3576,90,4,27,2023-01-06
766979-7865826879-vd639,1384,136,1,30,2023-01-06
766979-7865826879-vd640,2520,90,3,22,2023-01-06
766979-7865826879-vd641,3927,138,3,22,2023-01-06
766979-7865826879-vd642,2960,90,2,6,2023-01-06
766979-7865826879-vd643,3592,129,4,16,2023-01-06
766979-7865826879-vd644,124,41,1,5,2023-01-06
766979-7865826879-vd645,2198,131,3,6,2023-01-06
766979-7865826879-vd646,844,46,4,10,2023-01-06
